dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes	source_file	signature	n_signature_genes	n_genes_found	coverage	missing_genes	n_non_event_or_RD	log_effect	se_log_effect	source_context	meta_set	include_GSE194040	include_GSE25066	k	fixed_estimate	fixed_conf_low	fixed_conf_high	fixed_p_value	random_estimate	random_conf_low	random_conf_high	random_p_value	I2	Q_p_value	included_datasets	analysis_level	source_celltype	module	n_pairs	mean_delta	median_delta	sd_delta	min_delta	max_delta	test	statistic	p_adj_BH_within_module	MajorCluster	SubCluster	Subset	comparison	value	p_adj_BH	n_samples	n_patients	n_R	n_NR	effect_R_minus_NR	score_or_axis
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	CD8_Tsem_memory	6	5	0.833333333333333	EOMES																																											
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	CXCL9_FOLR2_macrophage	10	9	0.9	CCL3L1																																											
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	Cytolytic	2	2	1																																												
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	DC_HLA_antigen_presentation	9	8	0.888888888888889	CLEC9A																																											
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	HLAII	5	5	1																																												
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	Mast_cell	7	7	1																																												
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	Proliferation	9	9	1																																												
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	Suppressive_myeloid	13	13	1																																												
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	Tfh_TLS_like	13	11	0.846153846153846	TIGIT;TOX2																																											
GSE25066_RMA														results/GSE25066_RMA_signature_coverage.tsv	TIM3_cell_source_check	3	2	0.666666666666667	HAVCR2																																											
GSE163882	primary_TNBC	pCR	90	38	axis_only	(Intercept)	OR	0.715208316159118	0.463618850036128	1.10332644037942	0.129663602861253	pCR_binary ~ scale(APC_CXCL9_axis)	Supportive if positive; audit required because this is the only statistically positive non-I-SPY2 pCR cohort.	results/GSE163882_axis_models_final.tsv																																																
GSE163882	primary_TNBC	pCR	90	38	axis_only	scale(APC_CXCL9_axis)	OR	1.71510995440396	1.08441151774145	2.71262533417402	0.0210846515070232	pCR_binary ~ scale(APC_CXCL9_axis)	Supportive if positive; audit required because this is the only statistically positive non-I-SPY2 pCR cohort.	results/GSE163882_axis_models_final.tsv																																																
GSE163882	primary_TNBC	pCR	90	38	axis_plus_proliferation	(Intercept)	OR	0.70352744451332	0.453096340805397	1.09237444801176	0.117248866641053	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation)	If APC axis loses significance after proliferation adjustment, interpret as supportive but not proliferation-independent.	results/GSE163882_axis_models_final.tsv																																																
GSE163882	primary_TNBC	pCR	90	38	axis_plus_proliferation	scale(APC_CXCL9_axis)	OR	1.45651608693544	0.860454242505759	2.46548742129949	0.161414497023366	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation)	If APC axis loses significance after proliferation adjustment, interpret as supportive but not proliferation-independent.	results/GSE163882_axis_models_final.tsv																																																
GSE163882	primary_TNBC	pCR	90	38	axis_plus_proliferation	scale(Proliferation)	OR	1.40378821091536	0.818001415351097	2.40906837582808	0.218349811752822	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation)	If APC axis loses significance after proliferation adjustment, interpret as supportive but not proliferation-independent.	results/GSE163882_axis_models_final.tsv																																																
GSE163882	primary_TNBC	pCR	90	38	proliferation_only	(Intercept)	OR	0.712294973746259	0.461766652680398	1.09874571210179	0.124989669843043	pCR_binary ~ scale(Proliferation)	Proliferation control model.	results/GSE163882_axis_models_final.tsv																																																
GSE163882	primary_TNBC	pCR	90	38	proliferation_only	scale(Proliferation)	OR	1.69079475268748	1.05874385231796	2.70016859078485	0.0278774083246323	pCR_binary ~ scale(Proliferation)	Proliferation control model.	results/GSE163882_axis_models_final.tsv																																																
